,cat_name,Category,Predicted Category
67,Property Insurance,Insurance (other than health),Insurance (other than health)
68,Crop Insurance,Insurance (other than health),Insurance (other than health)
69,Loan for Farm,Interest on Loans & Mortgages,Unknown
70,Loan for Farm,Storage & Warehousing,Unknown
71,Tractor/Equipment Purchases,Interest on Loans & Mortgages,Unknown
72,Tractor/Equipment Purchases,L-T Asset Replacement & Section 179 Expenses,Unknown
73,Tractor/Equipment Purchases,L-T Asset Replacement & Section 179 Expenses,Unknown
74,Accountant,Other Expenses: Miscellaneous,Other Expenses: Miscellaneous
75,Attorney,Other Expenses: Other Miscellaneous,Other Expenses: Other Miscellaneous
76,Attorney,Other Expenses: Other Miscellaneous,Other Expenses: Other Miscellaneous
77,Sewer,Other Expenses: Other Miscellaneous,Other Expenses: Other Miscellaneous
78,Educational Workshops,Other Expenses: Other Miscellaneous,Other Expenses: Other Miscellaneous
79,Well,Other Expenses: Other Miscellaneous,Other Expenses: Other Miscellaneous
80,Land,Land & Animal Rent or Lease,Land & Animal Rent or Lease
81,Tractors Equipment Vehicles,Land & Animal Rent or Lease,Unknown
82,Tractor/Equipment Repairs,Repairs & Maintenance,Unknown
83,Fence Materials,Repairs & Maintenance,Unknown
84,Fence Materials,Supplies,Unknown
85,Buildings,Repairs & Maintenance,Repairs & Maintenance
86,Seeds,Seeds & Plants,Seeds & Plants
87,Seeds,Seeds & Plants,Seeds & Plants
88,Tools,Supplies,Supplies
89,Property Taxes,Property Taxes,Property Taxes
90,Electricity,Utilities,Utility
91,Electricity,Utilities,Utility
92,Electricity,Utilities,Utility
93,Electricity,Utilities,Utility
94,Electricity,Utilities,Utility
95,Electricity,Utilities,Utility
96,Electricity,Utilities,Utility
97,Electricity,Utilities,Utility
98,Electricity,Utilities,Utility
99,Electricity,Utilities,Utility
100,Electricity,Utilities,Utility
101,Electricity,Utilities,Utility
102,Vet & Medicine,"Veterinery, Breeding, & Medicines",Veterinery Breeding & Medicines
103,Vet & Medicine,Veterinery Breeding & Medicines,Veterinery Breeding & Medicines
