,cat_name,Category,Predicted Category
68,Crop Insurance,Insurance (other than health),Unknown
69,Loan for Farm,Interest on Loans & Mortgages,Unknown
70,Loan for Farm,Storage & Warehousing,Unknown
71,Tractor/Equipment Purchases,Interest on Loans & Mortgages,Unknown
72,Tractor/Equipment Purchases,L-T Asset Replacement & Section 179 Expenses,Unknown
73,Tractor/Equipment Purchases,L-T Asset Replacement & Section 179 Expenses,Unknown
74,Accountant,Other Expenses: Miscellaneous,Other expenses
75,Attorney,Other Expenses: Other Miscellaneous,Other expenses
76,Attorney,Other Expenses: Other Miscellaneous,Other expenses
77,Sewer,Other Expenses: Other Miscellaneous,Other expenses
78,Educational Workshops,Other Expenses: Other Miscellaneous,Other expenses
79,Well,Other Expenses: Other Miscellaneous,Other expenses
80,Land,Land & Animal Rent or Lease,Rent and leases: Land and animals
81,Tractors Equipment Vehicles,Land & Animal Rent or Lease,Unknown
82,Tractor/Equipment Repairs,Repairs & Maintenance,Unknown
83,Fence Materials,Repairs & Maintenance,Unknown
84,Fence Materials,Supplies,Unknown
85,Buildings,Repairs & Maintenance,Repairs and maintenance
86,Seeds,Seeds & Plants,Seeds and plants
87,Seeds,Seeds & Plants,Seeds and plants
88,Tools,Supplies,Supplies
89,Property Taxes,Property Taxes,Property taxes
90,Electricity,Utilities,Utilities
91,Electricity,Utilities,Utilities
92,Electricity,Utilities,Utilities
93,Electricity,Utilities,Utilities
94,Electricity,Utilities,Utilities
95,Electricity,Utilities,Utilities
96,Electricity,Utilities,Utilities
97,Electricity,Utilities,Utilities
98,Electricity,Utilities,Utilities
99,Electricity,Utilities,Utilities
100,Electricity,Utilities,Utilities
101,Electricity,Utilities,Utilities
102,Vet & Medicine,"Veterinery, Breeding, & Medicines","Veterinary, breeding, and medicine"
103,Vet & Medicine,Veterinery Breeding & Medicines,"Veterinary, breeding, and medicine"
